,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
146,Age=Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Medium,Department=Sales,DistanceFromHome=Low,Education=3,EducationField=Technical Degree,EnvironmentSatisfaction=4,Gender=Male,HourlyRate=Medium,JobInvolvement=2,JobLevel=3.0,JobRole=Sales Executive,JobSatisfaction=3,MaritalStatus=Married,MonthlyRate=Medium,NumCompaniesWorked=Low,OverTime=Yes,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=0,TotalWorkingYears=Medium,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=High,YearsInCurrentRole=High,YearsSinceLastPromotion=High,YearsWithCurrManager=High
147,Age=Senior,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Medium,Department=Research & Development,DistanceFromHome=High,Education=5,EducationField=Life Sciences,EnvironmentSatisfaction=4,Gender=Female,HourlyRate=Low,JobInvolvement=2,JobLevel=3.0,JobRole=Research Director,JobSatisfaction=1,MaritalStatus=Divorced,MonthlyRate=High,NumCompaniesWorked=High,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=3,TotalWorkingYears=High,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=High,YearsInCurrentRole=High,YearsSinceLastPromotion=Low,YearsWithCurrManager=High
148,Age=Senior,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Medium,Department=Sales,DistanceFromHome=Medium,Education=3,EducationField=Marketing,EnvironmentSatisfaction=4,Gender=Male,HourlyRate=Medium,JobInvolvement=3,JobLevel=3.0,JobRole=Sales Executive,JobSatisfaction=1,MaritalStatus=Divorced,MonthlyRate=High,NumCompaniesWorked=High,OverTime=Yes,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=1,TotalWorkingYears=High,TrainingTimesLastYear=2,WorkLifeBalance=3,YearsAtCompany=Medium,YearsInCurrentRole=Medium,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
149,Age=Young Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Research & Development,DistanceFromHome=Low,Education=1,EducationField=Life Sciences,EnvironmentSatisfaction=1,Gender=Male,HourlyRate=Medium,JobInvolvement=2,JobLevel=1.0,JobRole=Research Scientist,JobSatisfaction=2,MaritalStatus=Married,MonthlyRate=High,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=1.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=2,WorkLifeBalance=1,YearsAtCompany=Medium,YearsInCurrentRole=Medium,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
150,Age=Adults,Attrition=No,BusinessTravel=Non-Travel,DailyRate=High,Department=Research & Development,DistanceFromHome=Low,Education=2,EducationField=Medical,EnvironmentSatisfaction=2,Gender=Male,HourlyRate=High,JobInvolvement=3,JobLevel=2.0,JobRole=Manufacturing Director,JobSatisfaction=4,MaritalStatus=Divorced,MonthlyRate=High,NumCompaniesWorked=Medium,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=1,TotalWorkingYears=High,TrainingTimesLastYear=6,WorkLifeBalance=3,YearsAtCompany=Medium,YearsInCurrentRole=High,YearsSinceLastPromotion=Low,YearsWithCurrManager=High
151,Age=Adults,Attrition=No,BusinessTravel=Travel_Frequently,DailyRate=Medium,Department=Research & Development,DistanceFromHome=Low,Education=2,EducationField=Life Sciences,EnvironmentSatisfaction=4,Gender=Male,HourlyRate=High,JobInvolvement=3,JobLevel=2.0,JobRole=Manufacturing Director,JobSatisfaction=3,MaritalStatus=Single,MonthlyRate=Medium,NumCompaniesWorked=Medium,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=3,WorkLifeBalance=2,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
152,Age=Young Adults,Attrition=No,BusinessTravel=Non-Travel,DailyRate=Low,Department=Research & Development,DistanceFromHome=Low,Education=3,EducationField=Medical,EnvironmentSatisfaction=4,Gender=Male,HourlyRate=Low,JobInvolvement=3,JobLevel=1.0,JobRole=Research Scientist,JobSatisfaction=4,MaritalStatus=Married,MonthlyRate=Medium,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=3,TotalWorkingYears=Low,TrainingTimesLastYear=6,WorkLifeBalance=2,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Low
153,Age=Middle-aged,Attrition=No,BusinessTravel=Non-Travel,DailyRate=High,Department=Research & Development,DistanceFromHome=Medium,Education=2,EducationField=Life Sciences,EnvironmentSatisfaction=4,Gender=Male,HourlyRate=Medium,JobInvolvement=3,JobLevel=2.0,JobRole=Healthcare Representative,JobSatisfaction=4,MaritalStatus=Divorced,MonthlyRate=Low,NumCompaniesWorked=Medium,OverTime=Yes,PercentSalaryHike=High,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=0,TotalWorkingYears=Medium,TrainingTimesLastYear=2,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Medium,YearsWithCurrManager=Medium
154,Age=Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Medium,Department=Research & Development,DistanceFromHome=Low,Education=2,EducationField=Life Sciences,EnvironmentSatisfaction=3,Gender=Female,HourlyRate=Low,JobInvolvement=3,JobLevel=3.0,JobRole=Research Director,JobSatisfaction=4,MaritalStatus=Single,MonthlyRate=High,NumCompaniesWorked=Medium,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=0,TotalWorkingYears=Medium,TrainingTimesLastYear=6,WorkLifeBalance=3,YearsAtCompany=Medium,YearsInCurrentRole=High,YearsSinceLastPromotion=High,YearsWithCurrManager=High
155,Age=Middle-aged,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Sales,DistanceFromHome=High,Education=4,EducationField=Life Sciences,EnvironmentSatisfaction=1,Gender=Male,HourlyRate=Low,JobInvolvement=2,JobLevel=2.0,JobRole=Sales Executive,JobSatisfaction=4,MaritalStatus=Married,MonthlyRate=Low,NumCompaniesWorked=Medium,OverTime=Yes,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=2,TotalWorkingYears=Medium,TrainingTimesLastYear=2,WorkLifeBalance=4,YearsAtCompany=Medium,YearsInCurrentRole=Medium,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
156,Age=Adults,Attrition=No,BusinessTravel=Non-Travel,DailyRate=Medium,Department=Sales,DistanceFromHome=Low,Education=1,EducationField=Life Sciences,EnvironmentSatisfaction=3,Gender=Female,HourlyRate=Medium,JobInvolvement=3,JobLevel=1.0,JobRole=Sales Representative,JobSatisfaction=1,MaritalStatus=Divorced,MonthlyRate=Medium,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=3,TotalWorkingYears=Low,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Low
157,Age=Young Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Research & Development,DistanceFromHome=High,Education=3,EducationField=Other,EnvironmentSatisfaction=3,Gender=Male,HourlyRate=High,JobInvolvement=3,JobLevel=2.0,JobRole=Manufacturing Director,JobSatisfaction=1,MaritalStatus=Married,MonthlyRate=Low,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=1,TotalWorkingYears=Low,TrainingTimesLastYear=1,WorkLifeBalance=2,YearsAtCompany=Medium,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
158,Age=Senior,Attrition=Yes,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Research & Development,DistanceFromHome=High,Education=2,EducationField=Life Sciences,EnvironmentSatisfaction=1,Gender=Male,HourlyRate=High,JobInvolvement=3,JobLevel=1.0,JobRole=Laboratory Technician,JobSatisfaction=4,MaritalStatus=Single,MonthlyRate=Medium,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Low
159,Age=Young Adults,Attrition=Yes,BusinessTravel=Travel_Frequently,DailyRate=Medium,Department=Sales,DistanceFromHome=High,Education=3,EducationField=Technical Degree,EnvironmentSatisfaction=3,Gender=Male,HourlyRate=Low,JobInvolvement=4,JobLevel=1.0,JobRole=Sales Representative,JobSatisfaction=1,MaritalStatus=Single,MonthlyRate=Medium,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Low
160,Age=Young Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Sales,DistanceFromHome=Medium,Education=4,EducationField=Marketing,EnvironmentSatisfaction=2,Gender=Female,HourlyRate=Medium,JobInvolvement=3,JobLevel=2.0,JobRole=Sales Executive,JobSatisfaction=2,MaritalStatus=Married,MonthlyRate=Low,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=High,PerformanceRating=3.0,RelationshipSatisfaction=1.0,StockOptionLevel=1,TotalWorkingYears=Medium,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=Medium,YearsInCurrentRole=High,YearsSinceLastPromotion=Low,YearsWithCurrManager=High
161,Age=Middle-aged,Attrition=No,BusinessTravel=Travel_Frequently,DailyRate=Low,Department=Research & Development,DistanceFromHome=High,Education=3,EducationField=Life Sciences,EnvironmentSatisfaction=4,Gender=Male,HourlyRate=Low,JobInvolvement=2,JobLevel=3.0,JobRole=Manufacturing Director,JobSatisfaction=3,MaritalStatus=Single,MonthlyRate=Low,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=High,PerformanceRating=4.0,RelationshipSatisfaction=2.0,StockOptionLevel=0,TotalWorkingYears=Medium,TrainingTimesLastYear=2,WorkLifeBalance=3,YearsAtCompany=High,YearsInCurrentRole=High,YearsSinceLastPromotion=Low,YearsWithCurrManager=High
162,Age=Young Adults,Attrition=Yes,BusinessTravel=Travel_Rarely,DailyRate=Medium,Department=Research & Development,DistanceFromHome=Low,Education=3,EducationField=Medical,EnvironmentSatisfaction=1,Gender=Male,HourlyRate=High,JobInvolvement=3,JobLevel=1.0,JobRole=Laboratory Technician,JobSatisfaction=1,MaritalStatus=Married,MonthlyRate=Low,NumCompaniesWorked=High,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=1,TotalWorkingYears=Low,TrainingTimesLastYear=5,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
163,Age=Middle-aged,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Low,Department=Sales,DistanceFromHome=High,Education=3,EducationField=Marketing,EnvironmentSatisfaction=3,Gender=Male,HourlyRate=Medium,JobInvolvement=3,JobLevel=2.0,JobRole=Sales Executive,JobSatisfaction=1,MaritalStatus=Married,MonthlyRate=High,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=2.0,StockOptionLevel=1,TotalWorkingYears=Medium,TrainingTimesLastYear=3,WorkLifeBalance=2,YearsAtCompany=Medium,YearsInCurrentRole=High,YearsSinceLastPromotion=High,YearsWithCurrManager=Medium
164,Age=Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Low,Department=Research & Development,DistanceFromHome=High,Education=3,EducationField=Life Sciences,EnvironmentSatisfaction=4,Gender=Male,HourlyRate=Low,JobInvolvement=2,JobLevel=2.0,JobRole=Manufacturing Director,JobSatisfaction=2,MaritalStatus=Single,MonthlyRate=High,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=2,WorkLifeBalance=3,YearsAtCompany=Medium,YearsInCurrentRole=Medium,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
165,Age=Senior,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Medium,Department=Human Resources,DistanceFromHome=Low,Education=3,EducationField=Life Sciences,EnvironmentSatisfaction=3,Gender=Male,HourlyRate=High,JobInvolvement=3,JobLevel=4.0,JobRole=Manager,JobSatisfaction=2,MaritalStatus=Divorced,MonthlyRate=Medium,NumCompaniesWorked=Low,OverTime=Yes,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=2.0,StockOptionLevel=1,TotalWorkingYears=High,TrainingTimesLastYear=2,WorkLifeBalance=3,YearsAtCompany=High,YearsInCurrentRole=High,YearsSinceLastPromotion=Low,YearsWithCurrManager=High
166,Age=Young Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Medium,Department=Research & Development,DistanceFromHome=Medium,Education=3,EducationField=Life Sciences,EnvironmentSatisfaction=3,Gender=Female,HourlyRate=Medium,JobInvolvement=3,JobLevel=1.0,JobRole=Laboratory Technician,JobSatisfaction=4,MaritalStatus=Married,MonthlyRate=Medium,NumCompaniesWorked=Low,OverTime=Yes,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=1,TotalWorkingYears=Low,TrainingTimesLastYear=2,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
167,Age=Middle-aged,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Low,Department=Research & Development,DistanceFromHome=Low,Education=3,EducationField=Life Sciences,EnvironmentSatisfaction=3,Gender=Female,HourlyRate=High,JobInvolvement=3,JobLevel=3.0,JobRole=Manufacturing Director,JobSatisfaction=3,MaritalStatus=Single,MonthlyRate=Medium,NumCompaniesWorked=High,OverTime=Yes,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=0,TotalWorkingYears=Medium,TrainingTimesLastYear=4,WorkLifeBalance=4,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Low
168,Age=Middle-aged,Attrition=No,BusinessTravel=Non-Travel,DailyRate=Low,Department=Research & Development,DistanceFromHome=Low,Education=4,EducationField=Other,EnvironmentSatisfaction=1,Gender=Female,HourlyRate=Medium,JobInvolvement=2,JobLevel=2.0,JobRole=Healthcare Representative,JobSatisfaction=3,MaritalStatus=Single,MonthlyRate=Low,NumCompaniesWorked=Medium,OverTime=Yes,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=1.0,StockOptionLevel=0,TotalWorkingYears=Medium,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=Medium,YearsInCurrentRole=High,YearsSinceLastPromotion=Low,YearsWithCurrManager=High
169,Age=Young Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Low,Department=Research & Development,DistanceFromHome=Medium,Education=3,EducationField=Medical,EnvironmentSatisfaction=2,Gender=Female,HourlyRate=Medium,JobInvolvement=3,JobLevel=1.0,JobRole=Laboratory Technician,JobSatisfaction=4,MaritalStatus=Single,MonthlyRate=High,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=5,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Low
170,Age=Middle-aged,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Research & Development,DistanceFromHome=Low,Education=5,EducationField=Medical,EnvironmentSatisfaction=2,Gender=Male,HourlyRate=High,JobInvolvement=4,JobLevel=1.0,JobRole=Research Scientist,JobSatisfaction=3,MaritalStatus=Married,MonthlyRate=Low,NumCompaniesWorked=Medium,OverTime=Yes,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=1.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=5,WorkLifeBalance=2,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
171,Age=Senior,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Medium,Department=Research & Development,DistanceFromHome=Medium,Education=4,EducationField=Life Sciences,EnvironmentSatisfaction=1,Gender=Male,HourlyRate=Medium,JobInvolvement=4,JobLevel=1.0,JobRole=Laboratory Technician,JobSatisfaction=4,MaritalStatus=Married,MonthlyRate=Low,NumCompaniesWorked=Medium,OverTime=Yes,PercentSalaryHike=High,PerformanceRating=4.0,RelationshipSatisfaction=3.0,StockOptionLevel=1,TotalWorkingYears=Medium,TrainingTimesLastYear=2,WorkLifeBalance=2,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
172,Age=Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Medium,Department=Research & Development,DistanceFromHome=Low,Education=2,EducationField=Life Sciences,EnvironmentSatisfaction=4,Gender=Male,HourlyRate=High,JobInvolvement=4,JobLevel=2.0,JobRole=Healthcare Representative,JobSatisfaction=1,MaritalStatus=Divorced,MonthlyRate=High,NumCompaniesWorked=High,OverTime=No,PercentSalaryHike=High,PerformanceRating=4.0,RelationshipSatisfaction=1.0,StockOptionLevel=1,TotalWorkingYears=High,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=Medium,YearsInCurrentRole=Medium,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
173,Age=Middle-aged,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Research & Development,DistanceFromHome=Medium,Education=2,EducationField=Life Sciences,EnvironmentSatisfaction=3,Gender=Female,HourlyRate=Medium,JobInvolvement=3,JobLevel=1.0,JobRole=Laboratory Technician,JobSatisfaction=4,MaritalStatus=Single,MonthlyRate=Low,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Medium,YearsWithCurrManager=Low
174,Age=Adults,Attrition=Yes,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Sales,DistanceFromHome=Medium,Education=5,EducationField=Marketing,EnvironmentSatisfaction=2,Gender=Male,HourlyRate=High,JobInvolvement=2,JobLevel=2.0,JobRole=Sales Executive,JobSatisfaction=1,MaritalStatus=Divorced,MonthlyRate=Low,NumCompaniesWorked=High,OverTime=Yes,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=2.0,StockOptionLevel=3,TotalWorkingYears=High,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Medium,YearsWithCurrManager=Medium
175,Age=Young Adults,Attrition=Yes,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Research & Development,DistanceFromHome=High,Education=4,EducationField=Medical,EnvironmentSatisfaction=1,Gender=Male,HourlyRate=Low,JobInvolvement=3,JobLevel=1.0,JobRole=Laboratory Technician,JobSatisfaction=2,MaritalStatus=Divorced,MonthlyRate=Medium,NumCompaniesWorked=Medium,OverTime=Yes,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=1,TotalWorkingYears=Low,TrainingTimesLastYear=2,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
176,Age=Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Low,Department=Research & Development,DistanceFromHome=Low,Education=2,EducationField=Other,EnvironmentSatisfaction=3,Gender=Male,HourlyRate=Medium,JobInvolvement=3,JobLevel=1.0,JobRole=Laboratory Technician,JobSatisfaction=4,MaritalStatus=Divorced,MonthlyRate=Medium,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=1,TotalWorkingYears=Low,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Low
177,Age=Middle-aged,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Low,Department=Sales,DistanceFromHome=Medium,Education=4,EducationField=Marketing,EnvironmentSatisfaction=2,Gender=Male,HourlyRate=Medium,JobInvolvement=3,JobLevel=4.0,JobRole=Sales Executive,JobSatisfaction=1,MaritalStatus=Single,MonthlyRate=High,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=1.0,StockOptionLevel=0,TotalWorkingYears=High,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=High,YearsInCurrentRole=High,YearsSinceLastPromotion=High,YearsWithCurrManager=High
178,Age=Young Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Low,Department=Research & Development,DistanceFromHome=High,Education=4,EducationField=Medical,EnvironmentSatisfaction=4,Gender=Female,HourlyRate=Medium,JobInvolvement=2,JobLevel=1.0,JobRole=Research Scientist,JobSatisfaction=1,MaritalStatus=Single,MonthlyRate=Low,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=2.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=3,WorkLifeBalance=1,YearsAtCompany=Medium,YearsInCurrentRole=Medium,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
179,Age=Senior,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Low,Department=Research & Development,DistanceFromHome=High,Education=4,EducationField=Other,EnvironmentSatisfaction=4,Gender=Male,HourlyRate=Low,JobInvolvement=3,JobLevel=2.0,JobRole=Research Scientist,JobSatisfaction=4,MaritalStatus=Single,MonthlyRate=Low,NumCompaniesWorked=Low,OverTime=No,PercentSalaryHike=High,PerformanceRating=4.0,RelationshipSatisfaction=2.0,StockOptionLevel=0,TotalWorkingYears=High,TrainingTimesLastYear=3,WorkLifeBalance=3,YearsAtCompany=High,YearsInCurrentRole=High,YearsSinceLastPromotion=High,YearsWithCurrManager=nan
180,Age=Adults,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Low,Department=Research & Development,DistanceFromHome=Medium,Education=4,EducationField=Life Sciences,EnvironmentSatisfaction=3,Gender=Male,HourlyRate=Low,JobInvolvement=2,JobLevel=1.0,JobRole=Research Scientist,JobSatisfaction=2,MaritalStatus=Single,MonthlyRate=Low,NumCompaniesWorked=Low,OverTime=Yes,PercentSalaryHike=Medium,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=5,WorkLifeBalance=3,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Medium,YearsWithCurrManager=Medium
181,Age=Senior,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=Low,Department=Research & Development,DistanceFromHome=Low,Education=2,EducationField=Other,EnvironmentSatisfaction=3,Gender=Female,HourlyRate=Low,JobInvolvement=3,JobLevel=4.0,JobRole=Manager,JobSatisfaction=4,MaritalStatus=Married,MonthlyRate=Medium,NumCompaniesWorked=Low,OverTime=Yes,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=1,TotalWorkingYears=High,TrainingTimesLastYear=3,WorkLifeBalance=2,YearsAtCompany=High,YearsInCurrentRole=High,YearsSinceLastPromotion=Medium,YearsWithCurrManager=Low
182,Age=Senior,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Human Resources,DistanceFromHome=High,Education=4,EducationField=Life Sciences,EnvironmentSatisfaction=4,Gender=Female,HourlyRate=High,JobInvolvement=3,JobLevel=5.0,JobRole=Manager,JobSatisfaction=3,MaritalStatus=Married,MonthlyRate=Low,NumCompaniesWorked=Medium,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=3.0,StockOptionLevel=1,TotalWorkingYears=High,TrainingTimesLastYear=2,WorkLifeBalance=3,YearsAtCompany=Medium,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Low
183,Age=Senior,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Research & Development,DistanceFromHome=Low,Education=2,EducationField=Life Sciences,EnvironmentSatisfaction=4,Gender=Female,HourlyRate=Low,JobInvolvement=3,JobLevel=4.0,JobRole=Manager,JobSatisfaction=4,MaritalStatus=Married,MonthlyRate=Medium,NumCompaniesWorked=Medium,OverTime=No,PercentSalaryHike=Low,PerformanceRating=3.0,RelationshipSatisfaction=4.0,StockOptionLevel=0,TotalWorkingYears=High,TrainingTimesLastYear=2,WorkLifeBalance=1,YearsAtCompany=Medium,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
184,Age=Senior,Attrition=No,BusinessTravel=Travel_Rarely,DailyRate=High,Department=Sales,DistanceFromHome=Low,Education=4,EducationField=Life Sciences,EnvironmentSatisfaction=4,Gender=Female,HourlyRate=Medium,JobInvolvement=2,JobLevel=1.0,JobRole=Sales Representative,JobSatisfaction=4,MaritalStatus=Single,MonthlyRate=Medium,NumCompaniesWorked=Low,OverTime=Yes,PercentSalaryHike=High,PerformanceRating=3.0,RelationshipSatisfaction=1.0,StockOptionLevel=0,TotalWorkingYears=Low,TrainingTimesLastYear=3,WorkLifeBalance=2,YearsAtCompany=Low,YearsInCurrentRole=Low,YearsSinceLastPromotion=Low,YearsWithCurrManager=Medium
